Variable,LLM MAE,Stat N5 MAE,Stat N10 MAE,Stat N20 MAE,Stat N30 MAE
Midpoint Salary,10200.766777606288,11314.604309510903,6490.781070874314,5600.461928957363,5327.422262275803
double_0,12718.54178317106,10606.954964848059,8824.67326820489,7471.321265386613,5321.0828245416515
double_1,16207.695798030603,8704.731874565496,6085.794125069349,4668.718625128567,3098.6259583085352
double_10,13865.239532417385,11110.57502101429,8390.62376652632,5759.933534018185,5344.108390454415
double_11,4411.656591093366,10704.431215105182,7171.606130487129,5337.446855226256,3750.0148555680726
double_12,9678.368467875634,8927.558463661422,5946.2939411696625,4833.830551063,3801.613194574799
double_13,5156.091180247919,10728.53418535049,6987.996199310844,5471.3269555994475,4532.551525718411
double_14,5800.798581276074,15312.106290502348,7588.835299923888,4675.946925622964,4887.736056001801
double_15,7968.421052631576,3770.1052631705334,2593.8947367721466,1701.3157895312115,1195.894736823446
double_16,15215.291044838454,8175.363452720379,5611.384462853004,3360.0496339492856,2533.5759379175806
double_17,12012.087347857054,4366.36734639181,1973.6326532713056,1844.673469355551,842.2857143901562
double_18,11332.368008782554,12706.645275026918,8565.47472491118,4786.994725111843,2754.381831548225
double_19,2009.4713491933478,10891.803943321816,6127.468394733056,4055.448169085553,2830.8350515318198
double_2,18110.44293194841,21329.672869918555,21129.02735122958,21050.018441039465,16963.48518657329
double_3,12479.750519618236,6519.864250854132,4937.739172706524,1981.882629265442,1686.896044955621
double_4,19307.001228877067,14325.373745255007,10159.21984451828,11094.969830856198,9619.905048726785
double_5,2397.7898586014403,9296.221952689739,7257.765626393335,4250.618817009695,2948.2598211443
double_6,18764.865775681363,11945.74659550867,7839.464080833831,5375.288446278549,5147.566475615705
double_7,10676.761514743554,10431.400869651055,8811.619597843523,4538.534941666268,3574.0924818158346
double_8,9339.055519152176,13244.382198329702,7086.146909424737,5302.9225136356,5184.792068858171
double_9,1786.5990329112333,1745.3333339174133,1118.666666611266,581.9999997981329,3.684544935822487e-07
single_0,4589.606493942474,12382.495833406696,7803.325277753251,4527.326389000006,5342.488055519916
single_1,11655.903052399173,4358.500000741273,4303.5000002791385,2350.499999965237,2290.8333333103537
single_10,8517.362699103625,9621.708669963693,7855.413477172414,4040.6053715109115,2483.7442305815266
single_11,17388.851820242337,6159.349853328504,3755.4544702005637,2631.1321559764556,1785.1838946836697
single_12,12122.780709354416,13239.722342521773,7941.061629947914,7032.59715281057,4606.954822554793
single_13,3640.370360278021,2943.9982570500206,2302.333426987071,1072.990067470001,792.8135772619461
single_14,38075.526886430096,21688.624999677442,11167.624999499081,5061.625000002494,1922.791666604653
single_15,15354.437560711818,13148.338032356682,5631.570677423302,2918.4380323338673,4674.8493225449765
single_2,18936.632212108736,9041.286960821299,11900.934523013495,11344.545845989796,9687.355047642794
single_3,15943.68650994886,8464.76661889887,7310.635747030447,3257.963626821945,3201.935380538223
single_4,10256.533729553144,5903.584212257497,3784.9885977226677,2135.2764743873686,1216.7038154398429
single_5,11531.919439508996,12628.901618428814,8588.34599608044,5311.262261114377,4067.1081762123295
single_6,5241.719777613765,15682.058198035818,10827.463896205783,10444.72251136386,6341.839088223495
single_7,16341.43369109276,11090.301364870853,6620.821755542138,5302.592244120535,4450.250748006996
single_8,18088.368768816203,8238.70588190486,5535.882353310778,2932.2941177032217,923.9215684512379
single_9,6526.617273425063,4869.538461892303,4095.6923076062253,2248.6923076585017,1752.1538462532951
triple_0,31437.205601251044,9716.744000467872,6644.106285411341,3812.0000001464923,1552.6312380427617
triple_1,14285.06453593203,11487.48418107533,6816.092630945309,5788.35087128232,5284.50505846187
triple_2,6785.437935158872,8562.546220939585,6790.872829579838,4303.665600255802,4141.817429684447
triple_3,16795.028832191932,8419.944145296316,6196.478545791742,3805.07107111609,2688.4601829016956
triple_4,7257.670797751338,13083.318332232917,7653.755000103191,4329.795000068217,3110.264999849842
triple_5,13857.95965356541,9086.534602879341,6101.494603056823,5889.054603116778,3612.0063490997104
triple_6,26278.149049474538,11447.14585842629,22418.356304706205,17879.23375808757,19028.797612938233
triple_7,18762.267109476095,7756.696471037166,6196.094117403885,3653.6658824252813,3038.921568838812
triple_8,11137.502239598503,14235.822168493418,4952.932733186508,5217.963581950461,3201.2817386707256
