variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma,temperature,variables_file,sysprompt_type,elicitation_protocol,model,convo_file_path,approach,dataset,trial,ground_truth,difficulty,sample_size,mean,median,mode,abs_error_from_mean,abs_error_from_median,abs_error_from_mode,quartile_of_gt,std,error_ratio_mean,error_ratio_median,error_ratio_mode,std_ratio,associated_baseline_error_mean,associated_baseline_error_median,associated_baseline_error_mode,associated_baseline_std
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.03382742715430326,0.32264649764126524,,,,,,,statistical_baseline_n5,,0,1.8087325703027983,hard,5,1.0183900052725767,0.9667383230263794,0.8711612479421681,0.7903425650302216,0.8419942472764189,0.9375713223606302,4.0,0.3373197129781758,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.4360356304991049,0.5309947688810258,,,,,,,statistical_baseline_n5,,1,1.8087325703027983,hard,5,0.7444884742230076,0.6465946870335807,0.4877310875681618,1.0642440960797908,1.1621378832692177,1.3210014827346366,4.0,0.4248933742557363,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,0.5883824877428451,0.8487138337353252,,,,,,,statistical_baseline_n5,,2,1.8087325703027983,hard,5,2.581937467570994,1.801072800681144,0.8763999889836148,0.7732048972681955,0.0076597696216542666,0.9323325813191835,3.0,2.6520919797400886,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.44071601889004886,0.8301689345059557,,,,,,,statistical_baseline_n5,,3,1.8087325703027983,hard,5,0.9083497484930994,0.6435754438936487,0.3230666989730355,0.900382821809699,1.1651571264091496,1.4856658713297628,4.0,0.9047465692280277,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.21405680768455254,0.8406676481728718,,,,,,,statistical_baseline_n5,,4,1.8087325703027983,hard,5,1.14947376231432,0.8073025227329786,0.39820875451645676,0.6592588079884782,1.0014300475698197,1.4105238157863416,4.0,1.165078244363143,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.6653089475394509,0.24672642342820209,,,,,,,statistical_baseline_n5,,5,1.8087325703027983,hard,5,0.5300033331303189,0.5141146687064545,0.4837520119596284,1.2787292371724794,1.294617901596344,1.32498055834317,4.0,0.13278135421185494,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,0.39347446623952176,0.4730509875721329,,,,,,,statistical_baseline_n5,,6,1.8087325703027983,hard,5,1.6575872557206515,1.4821214391151127,1.1849460301782488,0.15114531458214686,0.3266111311876856,0.6237865401245495,3.0,0.8301059912402868,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-1.2046145501384298,0.9796911760376903,,,,,,,statistical_baseline_n5,,7,1.8087325703027983,hard,5,0.4844615795668084,0.2998075380186924,0.11481773160382393,1.32427099073599,1.508925032284106,1.6939148386989744,4.0,0.6149343575249099,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-2.2795405823198154,2.9000446525287353,,,,,,,statistical_baseline_n5,,8,1.8087325703027983,hard,5,6.859186927398359,0.1023312086844473,2.2776082882201736e-05,5.0504543570955605,1.706401361618351,1.8087097942199162,4.0,459.7151717473704,,,,,,,,
"The average total raised in millions USD for venture-backed companies with at most 8 employees, headquartered outside the US, and operating in the technology sector.",hard_11,lognormal,lognormal,,,-0.8258047586494416,0.6839717141132452,,,,,,,statistical_baseline_n5,,9,1.8087325703027983,hard,5,0.5532772173910661,0.43788246093470024,0.27427553810672006,1.2554553529117323,1.370850109368098,1.5344570321960782,4.0,0.42731691827310375,,,,,,,,
