approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode,mu,sigma,a,b,std,associated_baseline_std
gpt-4o_base_direct_temp0.5,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,130613.77957221285,120571.71498645052,102744.43805070806,11.7,0.4,,,54406.69459755962,12181.035404694907
meta-llama-3-70b_base_direct_temp0.5,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,68528.1576245074,65512.74612369082,59874.14171519782,11.09,0.3,,,21029.803698235144,12181.035404694907
meta-llama-3-8b_base_direct_temp0.5,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,24959.255641914595,22026.465794806718,17154.228809290984,10.0,0.5,,,13301.79443823501,12181.035404694907
o3-mini_base_direct_tempmedium,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,112983.8311174165,99707.88100326109,77652.57580373019,11.51,0.5,,,60213.64250319646,12181.035404694907
o4-mini_base_direct_tempmedium,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,122393.92310586887,119970.36104918174,115266.25590734514,11.695,0.2,,,24725.624659397752,12181.035404694907
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,128187.58783221612,124243.67037433927,116716.12692154596,11.73,0.25,,,32554.211226925825,12181.035404694907
gpt-4o_base_direct_temp0.5,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,145801.2978362103,134591.56135699214,114691.36305762557,11.81,0.4,,,60733.000065409025,13266.051932436598
meta-llama-3-70b_base_direct_temp0.5,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,159532.0306232254,147266.6252405527,125492.34002075167,11.9,0.4,,,66452.4868438374,13266.051932436598
meta-llama-3-8b_base_direct_temp0.5,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,227.0113463152779,200.33680997479166,156.02246448639497,5.3,0.5,,,120.98350636554365,13266.051932436598
o3-mini_base_direct_tempmedium,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,13266.051932436598
o4-mini_base_direct_tempmedium,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,136523.22149763055,134995.94230920577,131992.44960890608,11.813,0.15,,,20594.21647966281,13266.051932436598
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,136625.65232051068,130613.77957221285,119372.00637718744,11.78,0.3,,,41927.4462942242,13266.051932436598
gpt-4o_base_direct_temp0.5,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,140786.52288802722,134591.56135699214,123007.42519850106,11.81,0.3,,,43204.32713097596,16660.395440305478
meta-llama-3-70b_base_direct_temp0.5,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,70262.95619408888,64860.883408211565,55270.798943169066,11.08,0.4,,,29267.778726669447,16660.395440305478
meta-llama-3-8b_base_direct_temp0.5,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,1037.9469972058562,992.2747156050262,906.8708069475726,6.9,0.3,,,318.52339763772665,16660.395440305478
o3-mini_base_direct_tempmedium,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,157156.90811606066,150241.60841162986,137310.49125269664,11.92,0.3,,,48228.04292523968,16660.395440305478
o4-mini_base_direct_tempmedium,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,134759.90600217157,130613.77957221285,122700.29071357667,11.78,0.25,,,34223.30132818695,16660.395440305478
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,118332.05773179131,114691.36305762557,107742.56464821636,11.65,0.25,,,30051.324527298566,16660.395440305478
gpt-4o_base_direct_temp0.5,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,162429.6071288507,149941.4254778013,127771.6544296484,11.918,0.4,,,67659.46179342503,12487.883873785171
meta-llama-3-70b_base_direct_temp0.5,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,182590.27733054178,174555.8453352053,159532.0306232254,12.07,0.3,,,56032.99173031299,12487.883873785171
