approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode
gpt-4o_base_direct_temp0.5,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,130613.77957221285,120571.71498645052,102744.43805070806
meta-llama-3-70b_base_direct_temp0.5,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,68528.1576245074,65512.74612369082,59874.14171519782
meta-llama-3-8b_base_direct_temp0.5,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,24959.255641914595,22026.465794806718,17154.228809290984
o3-mini_base_direct_tempmedium,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,112983.8311174165,99707.88100326109,77652.57580373019
o4-mini_base_direct_tempmedium,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,122393.92310586887,119970.36104918174,115266.25590734514
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464297,128187.58783221612,124243.67037433927,116716.12692154596
gpt-4o_base_direct_temp0.5,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,145801.2978362103,134591.56135699214,114691.36305762557
meta-llama-3-70b_base_direct_temp0.5,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,159532.0306232254,147266.6252405527,125492.34002075167
meta-llama-3-8b_base_direct_temp0.5,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,227.0113463152779,200.33680997479166,156.02246448639497
o3-mini_base_direct_tempmedium,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,157156.90811606066,150241.60841162986,137310.49125269664
o4-mini_base_direct_tempmedium,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,136523.22149763055,134995.94230920577,131992.44960890608
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,136625.65232051068,130613.77957221285,119372.00637718744
gpt-4o_base_direct_temp0.5,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,140786.52288802722,134591.56135699214,123007.42519850106
meta-llama-3-70b_base_direct_temp0.5,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,70262.95619408888,64860.883408211565,55270.798943169066
meta-llama-3-8b_base_direct_temp0.5,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,1037.9469972058562,992.2747156050262,906.8708069475726
o3-mini_base_direct_tempmedium,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,157156.90811606066,150241.60841162986,137310.49125269664
o4-mini_base_direct_tempmedium,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,134759.90600217157,130613.77957221285,122700.29071357667
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.12133531761,118332.05773179131,114691.36305762557,107742.56464821636
gpt-4o_base_direct_temp0.5,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,162429.6071288507,149941.4254778013,127771.6544296484
meta-llama-3-70b_base_direct_temp0.5,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,182590.27733054178,174555.8453352053,159532.0306232254
meta-llama-3-8b_base_direct_temp0.5,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,261.12520370976847,230.44218346064218,179.46855293183248
o3-mini_base_direct_tempmedium,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,157156.90811606066,150241.60841162986,137310.49125269664
o4-mini_base_direct_tempmedium,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,156842.90840420686,149941.4254778013,137036.1447081845
qwen3-235b-a22b-fp8-tput_base_direct_temp0.6,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,142372.19513342128,140084.3471757332,135618.3540934125
gpt-4o_base_direct_temp0.5,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,140786.52288802722,134591.56135699214,123007.42519850106
meta-llama-3-70b_base_direct_temp0.5,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,161943.04851031085,154817.14657623274,141492.21827072586
meta-llama-3-8b_base_direct_temp0.5,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,205.40836046478316,181.27224187515122,141.17496392147686
