approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode
gpt-4o_base_unified-no-lognormal_temp0.5,BloodCadmiumUgl,The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,0.4368693057644108,1.0,1.0,1.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,BloodCadmiumUgl,The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,0.4368693057644108,1.0,1.0,1.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,BloodCadmiumUgl,The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,0.4368693057644108,1.5,1.5,1.5
o3-mini_base_unified-no-lognormal_tempmedium,BloodCadmiumUgl,The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,0.4368693057644108,0.4,0.4,0.4
o4-mini_base_unified-no-lognormal_tempmedium,BloodCadmiumUgl,The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,0.4368693057644108,0.5,0.5,0.5
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,BloodCadmiumUgl,The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,0.4368693057644108,0.4,0.4,0.4
gpt-4o_base_unified-no-lognormal_temp0.5,BloodLeadUgdl,The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,gaussian,1.0978834294272068,1.0,1.0,1.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,BloodLeadUgdl,The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,gaussian,1.0978834294272068,1.5,1.5,1.5
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,BloodLeadUgdl,The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,gaussian,1.0978834294272068,2.0,2.0,2.0
o3-mini_base_unified-no-lognormal_tempmedium,BloodLeadUgdl,The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,gaussian,1.0978834294272068,2.5,2.5,2.5
o4-mini_base_unified-no-lognormal_tempmedium,BloodLeadUgdl,The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,gaussian,1.0978834294272068,1.1,1.1,1.1
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,BloodLeadUgdl,The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,gaussian,1.0978834294272068,1.2,1.2,1.2
gpt-4o_base_unified-no-lognormal_temp0.5,BloodManganeseUgl,The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,9.843415617395952,10.0,10.0,10.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,BloodManganeseUgl,The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,9.843415617395952,6.0,6.0,6.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,BloodManganeseUgl,The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,9.843415617395952,2.5,2.5,2.5
o3-mini_base_unified-no-lognormal_tempmedium,BloodManganeseUgl,The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,9.843415617395952,10.0,10.0,10.0
o4-mini_base_unified-no-lognormal_tempmedium,BloodManganeseUgl,The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,9.843415617395952,9.5,9.5,9.5
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,BloodManganeseUgl,The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,9.843415617395952,6.0,6.0,6.0
gpt-4o_base_unified-no-lognormal_temp0.5,BloodMercuryTotalUgl,The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,1.2959934071907038,1.0,1.0,1.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,BloodMercuryTotalUgl,The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,1.2959934071907038,2.0,2.0,2.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,BloodMercuryTotalUgl,The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,1.2959934071907038,1.5,1.5,1.5
o3-mini_base_unified-no-lognormal_tempmedium,BloodMercuryTotalUgl,The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,1.2959934071907038,1.0,1.0,1.0
o4-mini_base_unified-no-lognormal_tempmedium,BloodMercuryTotalUgl,The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,1.2959934071907038,1.0,1.0,1.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,BloodMercuryTotalUgl,The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,gaussian,1.2959934071907038,1.0,1.0,1.0
gpt-4o_base_unified-no-lognormal_temp0.5,CoveredByHealthInsurance,The probability that the average adult (over 18) in the US population or their spouse has health insurance,beta,0.8626390131150734,0.85,0.8523370576970147,0.8571428571428571
