approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode
gpt-4o_base_unified-no-lognormal_temp0.5,Employees,The average number of employees for venture-backed companies,gaussian,94.3918270930874,125.0,125.0,125.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,Employees,The average number of employees for venture-backed companies,gaussian,94.3918270930874,17.5,17.5,17.5
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,Employees,The average number of employees for venture-backed companies,gaussian,94.3918270930874,100000.0,100000.0,100000.0
o3-mini_base_unified-no-lognormal_tempmedium,Employees,The average number of employees for venture-backed companies,gaussian,94.3918270930874,100.0,100.0,100.0
o4-mini_base_unified-no-lognormal_tempmedium,Employees,The average number of employees for venture-backed companies,gaussian,94.3918270930874,80.0,80.0,80.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,Employees,The average number of employees for venture-backed companies,gaussian,94.3918270930874,100.0,100.0,100.0
gpt-4o_base_unified-no-lognormal_temp0.5,IsTechCompany,The probability that a venture-backed company is a technology company,beta,0.4734005686238454,0.65,0.6550914308551201,0.6666666666666666
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,IsTechCompany,The probability that a venture-backed company is a technology company,beta,0.4734005686238454,0.7,0.7013380256913042,0.7040816326530612
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,IsTechCompany,The probability that a venture-backed company is a technology company,beta,0.4734005686238454,0.5,0.5,0.5
o3-mini_base_unified-no-lognormal_tempmedium,IsTechCompany,The probability that a venture-backed company is a technology company,beta,0.4734005686238454,0.6,0.6033969970418371,0.6111111111111112
o4-mini_base_unified-no-lognormal_tempmedium,IsTechCompany,The probability that a venture-backed company is a technology company,beta,0.4734005686238454,0.6,0.600669257301867,0.6020408163265306
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,IsTechCompany,The probability that a venture-backed company is a technology company,beta,0.4734005686238454,0.6666666666666666,0.6704151205755297,0.6785714285714286
gpt-4o_base_unified-no-lognormal_temp0.5,IsUSBased,The probability that a venture-backed company is based in the US,beta,0.4274580250930025,0.7,0.7067798200563354,0.7222222222222222
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,IsUSBased,The probability that a venture-backed company is based in the US,beta,0.4274580250930025,0.7,0.7013380256913042,0.7040816326530612
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,IsUSBased,The probability that a venture-backed company is based in the US,beta,0.4274580250930025,0.6,0.600669257301867,0.6020408163265306
o3-mini_base_unified-no-lognormal_tempmedium,IsUSBased,The probability that a venture-backed company is based in the US,beta,0.4274580250930025,0.7,0.7137633319772172,0.75
o4-mini_base_unified-no-lognormal_tempmedium,IsUSBased,The probability that a venture-backed company is based in the US,beta,0.4274580250930025,0.7,0.7067798200563354,0.7222222222222222
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,IsUSBased,The probability that a venture-backed company is based in the US,beta,0.4274580250930025,0.6,0.600669257301867,0.6020408163265306
gpt-4o_base_unified-no-lognormal_temp0.5,TotalRaised,The average total raised in millions USD for venture-backed companies,gaussian,27.092343523063214,20000000.0,20000000.0,20000000.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,TotalRaised,The average total raised in millions USD for venture-backed companies,gaussian,27.092343523063214,10.0,10.0,10.0
meta-llama-3-8b_base_unified-no-lognormal_temp0.5,TotalRaised,The average total raised in millions USD for venture-backed companies,gaussian,27.092343523063214,250000000.0,250000000.0,250000000.0
o3-mini_base_unified-no-lognormal_tempmedium,TotalRaised,The average total raised in millions USD for venture-backed companies,gaussian,27.092343523063214,30.0,30.0,30.0
o4-mini_base_unified-no-lognormal_tempmedium,TotalRaised,The average total raised in millions USD for venture-backed companies,gaussian,27.092343523063214,15.0,15.0,15.0
qwen3-235b-a22b-fp8-tput_base_unified-no-lognormal_temp0.6,TotalRaised,The average total raised in millions USD for venture-backed companies,gaussian,27.092343523063214,50.0,50.0,50.0
gpt-4o_base_unified-no-lognormal_temp0.5,easy_0,The average number of employees for venture-backed companies that are headquartered in the United States.,gaussian,68.85502978160159,175.0,175.0,175.0
meta-llama-3-70b_base_unified-no-lognormal_temp0.5,easy_0,The average number of employees for venture-backed companies that are headquartered in the United States.,gaussian,68.85502978160159,30.0,30.0,30.0
