variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,100.38684903677463,normal,95.0000001680876,4.540087850026896,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,188.1221353263126,normal,195.00000016808735,4.5400877630440535,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,1.0978834294272068,normal,1.4599999949355895,0.5531401482596872,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,0.4368693057644108,normal,0.4999999949486126,0.17585517775583326,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,1.2959934071907038,normal,1.259999995078713,0.43676378573825,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,9.843415617395952,normal,7.999999997825429,1.816035137474104,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,84.0178628441432,normal,75.00000008203574,4.540087839004086,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,0.13688460538540706,beta,,,12.11457005895347,100.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,0.10983611404490994,beta,,,6.094868628654212,52.76375997471507
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,0.8626390131150734,beta,,,49.35071840894974,5.008810346242262
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,0.10957795320437716,beta,,,4.684579324611898,25.892704223095446
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,0.036454840110654,beta,,,4.360246447717853,100.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,0.1069809229920304,beta,,,7.931569885831381,31.307153019105296
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,0.030410389143975175,beta,,,3.849064578804238,68.82961310518233
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever had a heart attack that was confirmed by a doctor",easy_0,0.1799854881791661,beta,,,3.3352835416822084,3.3352832501798035
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor",easy_1,0.9249930964813364,beta,,,10.141674529928325,1.471403088074517
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.92 and less than or equal to 1.48",easy_2,0.4933923877996188,normal,0.5599999951893654,0.16881620661679964,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_3,0.3921815605445806,normal,1.039999994998056,0.24683066136017884,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_4,78.91665124494659,normal,80.0000038208481,6.8676150667705915,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood manganese level in ug/L is greater than 9.38 and less than or equal to 11.7125",easy_5,0.39644849878648625,normal,0.6999999788101029,0.18160351603170108,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_6,1.0004345500593974,normal,0.9999999880672324,0.2212560619052014,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_7,0.9429069079428928,beta,,,16.52775572321148,2.0331444386845994
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_8,1.2372229538142916,normal,1.5799999950565191,0.3772849654415942,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have serious difficulty concentrating",easy_9,0.08856772450252827,beta,,,2.0331346925021534,16.52775860077105
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever been diagnosed with cancer by a doctor",easy_10,0.19493128113615096,beta,,,2.3170240410004,4.146312517683213
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5",easy_11,0.3792825416594003,normal,0.8399999958509996,0.2724052662548702,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9",easy_12,61.51678636747871,normal,60.000001232815045,4.540087865445517,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is less than or equal to 66.5",easy_13,0.07249176492457206,beta,,,3.849064578804238,68.82961310518233
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given they are currently taking insulin",easy_14,0.98985228364987,normal,1.599999995094784,0.5531401480692972,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they are currently taking insulin",easy_15,111.1603034427047,normal,105.0000001680876,4.540087850026896,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they take medication for depression",easy_16,0.9256086081908381,beta,,,21.755195936237474,4.028362572519223
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with cancer by a doctor",easy_17,1.5030180967202629,normal,2.3000000154045686,1.007148958333213,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor",easy_18,1.003168592665473,normal,1.599999995094784,0.5531401480692972,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they have ever been diagnosed with diabetes by a doctor",easy_19,111.17048561329548,normal,103.99999669451486,5.448105390000817,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they do not have health insurance, and they have ever been diagnosed with diabetes by a doctor",medium_0,99.35040588544162,normal,90.00000055513328,9.080175682551229,,
"The probability that the average adult (over 18) in the US population is currently taking insulin, given they take medication for depression, and they have ever had a heart attack that was confirmed by a doctor",medium_1,0.2800408376597024,beta,,,2.176938911254273,8.183466051427
