variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,mean,std,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,100.38684903677463,normal,lognormal,4.5,0.3,94.1604272094068,28.895790708484242,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,188.1221353263126,normal,lognormal,4.85,0.3,133.6200066145467,41.00507888535253,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,1.0978834294272068,normal,beta,,,0.95,0.1541103500742244,0.95,0.05
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,0.4368693057644108,normal,lognormal,1.0,0.3,2.8433985236517687,0.8725772713151669,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,1.2959934071907038,normal,lognormal,2.3,0.5,11.302229419279579,6.023414102805224,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,9.843415617395952,normal,lognormal,2.3,0.5,11.302229419279579,6.023414102805224,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,84.0178628441432,normal,gaussian,,,72.5,2.5,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,0.13688460538540706,beta,lognormal,0.5,0.5,1.8682459574322223,0.9956636544919288,,
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,0.10983611404490994,beta,beta,,,0.16666666666666666,0.14085904245475275,1.0,5.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,0.8626390131150734,beta,beta,,,0.3333333333333333,0.11785113019775792,5.0,10.0
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,0.10957795320437716,beta,beta,,,0.8,0.12060453783110545,8.0,2.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,0.036454840110654,beta,beta,,,0.04,0.0194986671288573,4.0,96.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,0.1069809229920304,beta,beta,,,0.2857142857142857,0.15971914124998499,2.0,5.0
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,0.030410389143975175,beta,beta,,,0.1,0.029851115706299676,10.0,90.0
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever had a heart attack that was confirmed by a doctor",easy_0,0.1799854881791661,beta,beta,,,0.2857142857142857,0.15971914124998499,2.0,5.0
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor",easy_1,0.9249930964813364,beta,beta,,,0.6666666666666666,0.1781741612749496,4.0,2.0
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.92 and less than or equal to 1.48",easy_2,0.4933923877996188,normal,lognormal,-0.693,0.5,0.5666576213822246,0.3019947110853567,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_3,0.3921815605445806,normal,lognormal,,,,,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_4,78.91665124494659,normal,lognormal,4.5,0.5,102.00277308269969,54.36139359049902,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood manganese level in ug/L is greater than 9.38 and less than or equal to 11.7125",easy_5,0.39644849878648625,normal,lognormal,-0.693,0.5,0.5666576213822246,0.3019947110853567,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_6,1.0004345500593974,normal,lognormal,1.7,0.4,5.929856418591146,2.4700601133381723,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_7,0.9429069079428928,beta,beta,,,0.4,0.14770978917519928,4.0,6.0
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_8,1.2372229538142916,normal,lognormal,,,,,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have serious difficulty concentrating",easy_9,0.08856772450252827,beta,beta,,,0.8,0.16329931618554522,4.0,1.0
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever been diagnosed with cancer by a doctor",easy_10,0.19493128113615096,beta,beta,,,0.3,0.13816985594155148,3.0,7.0
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5",easy_11,0.3792825416594003,normal,lognormal,,,,,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9",easy_12,61.51678636747871,normal,lognormal,4.8,0.3,127.10328199373689,39.00523758972028,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is less than or equal to 66.5",easy_13,0.07249176492457206,beta,beta,,,0.25,0.19364916731037085,1.0,3.0
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given they are currently taking insulin",easy_14,0.98985228364987,normal,lognormal,1.1,0.3,3.142441356839167,0.9643470240313267,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they are currently taking insulin",easy_15,111.1603034427047,normal,lognormal,4.6,0.5,112.73049837406913,60.07863126228341,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they take medication for depression",easy_16,0.9256086081908381,beta,beta,,,0.5833333333333334,0.18633899812498247,3.5,2.5
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with cancer by a doctor",easy_17,1.5030180967202629,normal,lognormal,0.3,0.5,1.5295904196633787,0.8151804536545524,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor",easy_18,1.003168592665473,normal,lognormal,3.5,0.5,37.524723159601,19.998439095373605,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they have ever been diagnosed with diabetes by a doctor",easy_19,111.17048561329548,normal,lognormal,4.6,0.5,112.73049837406913,60.07863126228341,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they do not have health insurance, and they have ever been diagnosed with diabetes by a doctor",medium_0,99.35040588544162,normal,lognormal,4.6,0.5,112.73049837406913,60.07863126228341,,
"The probability that the average adult (over 18) in the US population is currently taking insulin, given they take medication for depression, and they have ever had a heart attack that was confirmed by a doctor",medium_1,0.2800408376597024,beta,beta,,,0.1,0.09045340337332909,1.0,9.0
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given they take medication for depression, and their blood manganese level in ug/L is greater than 8.9 and less than or equal to 10.875",medium_2,0.2552476614990333,beta,beta,,,0.16666666666666666,0.10336227882434038,2.0,10.0
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is greater than 158.0 and less than or equal to 183.0, and they do not have health insurance",medium_3,0.8872222181617718,normal,lognormal,2.5,0.5,13.804574186067095,7.357014598707167,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and they have ever been diagnosed with diabetes by a doctor",medium_4,93.66582391759269,normal,lognormal,,,,,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their total cholesterol in mg/dL is greater than 158.0 and less than or equal to 183.0, and their weight in kilograms is greater than 94.2",medium_5,0.19004008577621928,beta,beta,,,0.2,0.07844645405527362,5.0,20.0
