variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,normal,gaussian,95.0,7.5,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,normal,lognormal,5.3,0.2,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,normal,lognormal,0.69,0.5,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,normal,lognormal,0.0,0.4,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,normal,lognormal,0.4,0.5,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,normal,lognormal,1.79,0.4,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,normal,lognormal,4.25,0.4,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,beta,beta,,,23.4,151.6
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,beta,beta,,,5.0,35.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,beta,beta,,,10.0,3.0
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,beta,beta,,,4.0,24.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,beta,beta,,,2.5,67.5
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,beta,beta,,,1.25,3.75
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,beta,beta,,,5.0,50.0
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_0,normal,lognormal,4.38,0.3,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5",easy_1,beta,beta,,,3.18,18.2
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with cancer by a doctor",easy_2,beta,beta,,,12.0,3.0
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor",easy_3,beta,beta,,,2.0,11.0
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_4,beta,beta,,,20.0,3.0
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given they have ever had a heart attack that was confirmed by a doctor",easy_5,beta,beta,,,30.0,70.0
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is greater than 110.7",easy_6,normal,lognormal,4.44,0.4,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they do not have health insurance",easy_7,normal,lognormal,-0.69,0.5,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_8,normal,lognormal,-0.69,0.5,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35",easy_9,normal,lognormal,-0.51,0.4,,
