approach,variable,variable_name,fitted_distribution_type,ground_truth,mean,median,mode,mu,sigma,a,b,std,associated_baseline_std,quartile_of_gt
o4-mini_base_direct_tempmedium,Midpoint Salary,The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,lognormal,126461.03222464296,122393.92310586887,119970.36104918174,115266.25590734514,11.695,0.2,,,24725.624659397752,12969.384245969206,3.0
o4-mini_base_direct_tempmedium,double_0,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",lognormal,138946.63581924932,136523.22149763055,134995.94230920577,131992.44960890608,11.813,0.15,,,20594.21647966281,12696.849402184056,3.0
o4-mini_base_direct_tempmedium,double_1,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",lognormal,115326.1213353176,134759.90600217157,130613.77957221284,122700.29071357669,11.78,0.25,,,34223.30132818695,11538.609140377865,2.0
o4-mini_base_direct_tempmedium,double_10,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",lognormal,135599.01472774756,156842.90840420686,149941.4254778013,137036.1447081845,11.918,0.3,,,48131.6832312031,11384.748057670318,2.0
o4-mini_base_direct_tempmedium,double_11,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",lognormal,153938.44770604407,151941.36973658123,150241.60841162986,146898.91850238777,11.92,0.15,,,22920.00896437935,13347.616962449469,3.0
o4-mini_base_direct_tempmedium,double_12,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",lognormal,143716.44630090194,127516.36649382106,124991.37326214142,120090.39141541164,11.736,0.2,,,25760.444112320783,11668.520844823588,4.0
o4-mini_base_direct_tempmedium,double_13,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",lognormal,132986.10491607833,146532.1298829419,140084.3471757332,128027.45345226408,11.85,0.3,,,44967.529169652254,13186.506348546454,2.0
o4-mini_base_direct_tempmedium,double_14,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",lognormal,133334.1595361139,125492.34002075168,119970.36104918174,109644.65427109587,11.695,0.3,,,38510.87447482733,13854.559105443694,3.0
o4-mini_base_direct_tempmedium,double_15,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",gaussian,110052.63157894736,,,,,,,,,4518.59006922619,2.0
o4-mini_base_direct_tempmedium,double_16,"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",lognormal,113292.09361027164,127516.36649382106,124991.37326214142,120090.39141541164,11.736,0.2,,,25760.444112320783,11155.934699083544,2.0
