variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,a,b,mean,std,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,0.4262274212484264,beta,beta,6.5,3.5,0.65,0.14381174563233068,,
The probability that a venture-backed company is a technology company,IsTechCompany,0.47340056862384544,beta,beta,7.5,3.5,0.6818181818181818,0.13445635870680944,,
The average total raised in millions USD for venture-backed companies,TotalRaised,27.092343523063214,normal,lognormal,,,6.889510241581294,6.523172535788726,1.61,0.8
The average number of employees for venture-backed companies,Employees,94.3918270930874,normal,lognormal,,,55.980308781644155,29.8341653567531,3.9,0.5
The average number of employees for venture-backed companies headquartered in the United States is shown.,easy_0,69.00162612418279,normal,lognormal,,,22.669037349783732,12.081244699986746,2.996,0.5
The average number of employees for venture-backed companies headquartered outside of the United States.,easy_1,113.25295828813726,normal,lognormal,,,56.656119240068364,30.19433201901814,3.912,0.5
The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,easy_2,34.690467595327384,normal,lognormal,,,20.697232589389507,19.59669330035699,2.71,0.8
The average number of employees for venture-backed companies that operate in the technology sector.,easy_3,70.71898529939047,normal,lognormal,,,22.669037349783732,12.081244699986746,2.996,0.5
The average total raised in millions USD for venture-backed companies that are headquartered outside the United States.,easy_4,21.448070949610493,normal,lognormal,,,11.941264417849103,7.860667026148539,2.3,0.6
"The probability that a venture-backed company is based in the US, given it has raised at most 1 million USD.",easy_5,0.32121042308769965,beta,beta,6.0,2.0,0.75,0.14433756729740643,,
The average total raised in millions USD for venture-backed companies with 18 to 45 employees.,easy_6,14.25118825404052,normal,lognormal,,,3.955076722920577,2.10781997310005,1.25,0.5
The average number of employees for venture-backed companies where the total amount raised is greater than 4 million USD and at most 14 million USD.,easy_7,65.71121691322338,normal,lognormal,,,64.71545210740304,26.956986085865715,4.09,0.4
The average number of employees for venture-backed companies that are not in the technology sector.,easy_8,115.67315802197211,normal,lognormal,,,27.112638920657893,11.293671083720492,3.22,0.4
The probability that a venture-backed company is based in the US when total funding raised exceeds 14 million USD.,easy_9,0.5381176071084951,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
The average number of employees for venture-backed companies where total funding raised exceeds 14 million USD.,easy_10,256.85115173467653,normal,lognormal,,,56.657422653341335,30.195026660544066,3.912023005428146,0.5
The average number of employees for venture-backed companies that have raised no more than 1 million USD in total.,easy_11,23.810367049593722,normal,lognormal,,,17.03040030039619,9.076187497206496,2.71,0.5
The average total raised in millions USD for venture-backed companies that have at most 8 employees.,easy_12,3.5290062040752512,normal,lognormal,,,2.718281828459045,1.13229040423948,0.92,0.4
The average total raised in millions USD for venture-backed companies with more than eight and at most seventeen employees.,easy_13,6.678734494347694,normal,lognormal,,,5.668927803804981,3.021200368042087,1.61,0.5
The average total raised in millions USD for venture-backed companies operating in the technology sector.,easy_14,25.585287438747457,normal,lognormal,,,5.668927803804981,3.021200368042087,1.61,0.5
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,84.67986682602015,normal,lognormal,,,11.302229419279579,6.023414102805224,2.3,0.5
The average number of employees for venture-backed companies that have raised more than $1 million but no more than $4 million in funding.,easy_16,31.395496009122006,normal,lognormal,,,56.542920238322985,30.13400370340516,3.91,0.5
The average number of employees for venture-backed companies that are headquartered outside the United States and that do not operate in the technology sector.,medium_0,142.19630337794774,normal,lognormal,,,56.542920238322985,30.13400370340516,3.91,0.5
The average total raised in millions USD for venture-backed companies with no more than eight employees and operating in the technology industry.,medium_1,2.5228256465260395,normal,lognormal,,,2.8433985236517687,1.5153618044634698,0.92,0.5
The average number of employees for venture-backed companies that have raised more than 14 million USD and are not based in the United States.,medium_2,370.8900869991423,normal,lognormal,,,112.73049837406913,60.07863126228341,4.6,0.5
"The average total raised in millions USD for venture-backed companies that are located in the United States and have between 8 and 15 employees, inclusive.",medium_3,7.828107926254878,normal,lognormal,,,3.955076722920577,2.10781997310005,1.25,0.5
The average number of employees for venture-backed companies that are based in the US and have raised between 4 and 14 million USD.,medium_4,34.03795319510125,normal,lognormal,,,27.112638920657893,11.293671083720492,3.22,0.4
The average total raised in millions USD for venture-backed companies that are neither technology companies nor US-based.,medium_5,23.912042247109166,normal,lognormal,,,5.668927803804981,3.021200368042087,1.61,0.5
The average number of employees for venture-backed companies that are technology companies and have raised at most 2 million USD.,medium_6,21.63714593044102,normal,lognormal,,,17.03040030039619,9.076187497206496,2.71,0.5
The average total raised in millions USD for venture-backed companies with more than 17 but no more than 45 employees and based in the US.,medium_7,20.566304196291647,normal,lognormal,,,2.82921701435156,1.507803905933094,0.915,0.5
"The probability that a venture-backed company is based in the US, given it operates in the technology sector and has raised between 4 and 14 million USD.",medium_8,0.48730491497787093,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
The average number of employees for venture-backed companies that have raised more than 4 million USD and up to 14 million USD and are technology companies.,medium_9,44.00244584206848,normal,lognormal,,,55.980308781644155,29.8341653567531,3.9,0.5
"The probability that a venture-backed company is based in the US, has raised more than 1 million USD but no more than 4 million USD, and employs more than 25 people.",medium_10,0.2579412467160258,beta,beta,4.0,6.0,0.4,0.14770978917519928,,
The probability that a venture-backed company is based in the US if it has more than 45 employees and has raised at most 6 million USD.,medium_11,0.24711473183978275,beta,beta,4.2,2.5,0.6268656716417911,0.1742908083943708,,
The average number of employees for venture-backed companies based in the US and operating outside the technology sector.,medium_12,77.50193277861496,normal,lognormal,,,53.51703422749116,22.292325867290778,3.9,0.4
The probability that a venture-backed company is based in the US when it has raised at most 1 million USD and employs more than 15 people.,medium_13,0.228516562650024,beta,beta,6.0,4.0,0.6,0.14770978917519928,,
The average number of employees for venture-backed companies that operate in the technology sector and are headquartered in the United States.,medium_14,60.27666442501681,normal,lognormal,,,33.95377361624754,18.095335995807243,3.4,0.5
"The probability that a venture-backed company is a technology company, given that it is headquartered in the United States and has more than 42 employees.",medium_15,0.5292765382014875,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
The average number of employees for venture-backed companies that have raised more than 14 million USD and are headquartered in the United States.,medium_16,158.96813209928482,normal,lognormal,,,169.86431987468302,90.52755009124574,5.01,0.5
The average number of employees for venture-backed companies that are not technology companies and have raised over 1 million USD but no more than 4 million USD.,medium_17,36.159646442601485,normal,lognormal,,,24.288427443094555,10.11725606960815,3.11,0.4
The probability that a venture-backed company is based in the US given that the company does not operate in the technology sector and has more than 45 employees.,medium_18,0.3516531165311653,beta,beta,5.0,5.0,0.5,0.15075567228888181,,
The average total raised in millions USD for venture-backed companies that are not headquartered in the US and have between 9 and 19 employees.,medium_19,5.2096888246628135,normal,lognormal,,,4.504153630288483,2.400445212304877,1.38,0.5
The average total raised in millions USD for venture-backed companies headquartered in the US with between 16 and 42 employees and that are not technology companies.,hard_0,24.0746973827699,normal,lognormal,,,5.668927803804981,3.021200368042087,1.61,0.5
"The probability that a venture-backed company is a technology company when it has more than 45 employees, has raised at most 6 million USD, and is not based in the US.",hard_1,0.41809437932070936,beta,beta,7.0,3.0,0.7,0.13816985594155148,,
"The average total raised in millions USD for venture-backed companies that have more than 45 employees, are not technology companies, and are not based in the US.",hard_2,69.3911135261662,normal,lognormal,,,6.889510241581294,6.523172535788726,1.61,0.8
"The probability that a venture-backed company is a technology company with more than 45 employees, based in the US, and having raised between 13 and 38 million USD.",hard_3,0.5678654292343387,beta,beta,2.0,8.0,0.2,0.12060453783110545,,
"The average number of employees for venture-backed companies headquartered outside the United States, that have raised between 1 million and 3 million USD, and that are not technology companies.",hard_4,35.34596713965646,normal,lognormal,,,22.75989509352673,12.129666457739873,3.0,0.5
