variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,mean,std,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,100.38684903677463,normal,lognormal,4.605,0.2,102.00277308269969,20.606270454122054,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,188.1221353263126,normal,lognormal,5.3,0.4,217.02227542494745,90.39983911792824,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,1.0978834294272068,normal,lognormal,0.18,0.5,1.3566250030062241,0.7230002039585862,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,0.4368693057644108,normal,lognormal,0.4,0.5,1.6904588483790914,0.9009137303627247,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,1.2959934071907038,normal,lognormal,-0.22,0.5,0.9093729344682314,0.4846415300012961,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,9.843415617395952,normal,lognormal,2.03,0.5,8.62789017896875,4.598150811980922,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,84.0178628441432,normal,lognormal,4.25,0.3,73.33221444502404,22.50406443123495,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,0.13688460538540706,beta,beta,,,0.13333333333333333,0.03899317679104012,10.0,65.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,0.10983611404490994,beta,beta,,,0.14245014245014245,0.16457841011055518,0.5,3.01
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,0.8626390131150734,beta,beta,,,0.9067460317460317,0.04055971858350445,45.7,4.7
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,0.10957795320437716,beta,beta,,,0.3561643835616438,0.1662163329236272,2.6,4.7
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,0.036454840110654,beta,beta,,,0.0374331550802139,0.01952665089144977,3.5,90.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,0.1069809229920304,beta,beta,,,0.2777777777777778,0.14163943093313291,2.5,6.5
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,0.030410389143975175,beta,beta,,,0.02834008097165992,0.010537360717745492,7.0,240.0
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever had a heart attack that was confirmed by a doctor",easy_0,0.1799854881791661,beta,beta,,,0.25,0.14433756729740643,2.0,6.0
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor",easy_1,0.9249930964813364,beta,beta,,,0.8333333333333334,0.10336227882434038,10.0,2.0
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.92 and less than or equal to 1.48",easy_2,0.4933923877996188,normal,lognormal,-0.97,0.5,0.42955735821073915,0.22892844884184332,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_3,0.3921815605445806,normal,lognormal,0.92,0.5,2.8433985236517687,1.5153618044634698,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_4,78.91665124494659,normal,lognormal,4.25,0.3,73.33221444502404,22.50406443123495,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood manganese level in ug/L is greater than 9.38 and less than or equal to 11.7125",easy_5,0.39644849878648625,normal,lognormal,-0.105,0.4,0.9753099120283327,0.40626179485420155,,
