variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,a,b
The probability that a venture-backed company is based in the US,IsUSBased,0.4274580250930025,beta,,,8.819473790254325,3.855773148103213
The probability that a venture-backed company is a technology company,IsTechCompany,0.47340056862384544,beta,,,14.941572887520296,4.242582086192155
The average total raised in millions USD for venture-backed companies,TotalRaised,27.092343523063214,normal,75.00000485240486,43.25990381625525,,
The average number of employees for venture-backed companies,Employees,94.3918270930874,normal,113.00002871118069,64.39419970522366,,
The average number of employees for venture-backed companies that are headquartered in the United States.,easy_0,68.85502978160159,normal,163.00002781281867,106.92091278007395,,
The average number of employees for venture-backed companies headquartered outside the United States.,easy_1,113.45751908491242,normal,111.9999949869086,64.39419280634105,,
The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,easy_2,34.618962940105895,normal,50.39999954086216,32.2170495745911,,
The average number of employees for venture-backed companies that are technology companies.,easy_3,70.71898529939047,normal,153.00001852976558,104.04678905279998,,
The average total raised in millions USD for venture-backed companies headquartered outside the United States.,easy_4,21.47299330483979,normal,22.20000018120878,13.134584287970116,,
The probability that a venture-backed company is based in the US when it has raised at most 1 million USD.,easy_5,0.3227794900532362,beta,,,8.819473790254325,3.855773148103213
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_6,14.25118825404052,normal,17.400001266963898,10.378861408120276,,
The average number of employees for venture-backed companies that have raised more than 4 million USD and no more than 14 million USD in total funding.,easy_7,65.71121691322338,normal,58.00000108338962,24.683066638869217,,
The average number of employees for venture-backed companies operating outside the technology sector.,easy_8,115.67315802197211,normal,105.00000274945293,61.678376976679665,,
"The probability that a venture-backed company is based in the US, given that it has raised more than 14 million USD in total.",easy_9,0.5387967626917199,beta,,,14.941572887520296,4.242582086192155
The average number of employees for venture-backed companies that have raised more than 14 million USD.,easy_10,256.85115173467653,normal,154.00001694409355,83.96235289610448,,
The average number of employees for venture-backed companies that have raised at most 1 million USD in total.,easy_11,23.810367049593722,normal,9.60000005073805,3.772849742456067,,
The average total raised in millions USD for venture-backed companies with up to 8 employees.,easy_12,3.5290062040752512,normal,4.200000038692651,2.1421709221257696,,
The average total raised in millions USD for venture-backed companies that have more than eight but at most seventeen employees.,easy_13,6.678734494347694,normal,20.199999173797142,10.295564811848278,,
The average total raised in millions USD for venture-backed companies operating in the technology sector.,easy_14,25.585287438747457,normal,75.00000485240486,43.25990381625525,,
The average total raised in millions USD for venture-backed companies where the number of employees exceeds 45.,easy_15,84.67986682602015,normal,39.999999213459716,20.846875234209925,,
The average number of employees for venture-backed companies that have raised more than 1 million USD and no more than 4 million USD.,easy_16,31.395496009122006,normal,37.99999950851426,15.602891052552657,,
The average number of employees for venture-backed companies that are based outside the US and are not technology companies.,medium_0,142.4984939759036,normal,174.00001860623695,103.7886044146323,,
The average total raised in millions USD for venture-backed companies that have no more than eight employees and are technology companies.,medium_1,2.5228256465260395,normal,3.99999997787016,2.0846875130421023,,
