variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,53.9,44.09999999999999,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,22.268749999999997,9.543750000000001,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,2.5241878110395515,0.6064031498312961
The average number of employees for venture-backed companies,Employees,normal,gaussian,,,80.0,30.0
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,gaussian,,,120.0,60.0
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,gaussian,,,20.0,5.0
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,gaussian,,,25.0,10.0
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.1684516122774717,0.41063695941280387
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,4.164183885831463,0.41063695941280387
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,gaussian,,,50.0,20.0
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,gaussian,,,8.0,4.0
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,13.799999999999995,9.199999999999998,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,gaussian,,,100.0,50.0
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,2.6553699432732967,0.32459284597450133
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,4.164183885831463,0.41063695941280387
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,13.999999999999996,6.0,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,gaussian,,,12.0,4.0
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,3.348517123833242,0.32459284597450133
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,1.9622227627133515,0.32459284597450133
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,gaussian,,,60.0,25.0
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,gaussian,,,45.0,15.0
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,3.6646748845100925,0.7033464593186682
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,1.967869766022731,0.47238072707743883
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,gaussian,,,15.0,5.0
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,3.6230912752195765,0.36273455554815737
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,4.8267729040335965,0.6064031498312961
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,13.799999999999995,9.199999999999998,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,gaussian,,,50.0,20.0
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,2.404863942114464,0.40010675493807013
The average number of employees for venture-backed companies that have raised over 1 million USD but no more than 4 million USD and are not technology companies.,medium_8,normal,lognormal,,,3.1446658223090638,0.38525317015992666
The probability that a venture-backed company is based in the US when it has raised over 14 million USD in total funding and employs at most 28 people.,medium_9,beta,beta,14.137499999999996,7.612499999999997,,
The average total raised in millions USD for venture-backed companies headquartered in the United States with 8 to 15 employees.,medium_10,normal,gaussian,,,6.0,2.0
The average total raised in millions USD for venture-backed companies whose headquarters are in the United States and that operate in the technology sector.,medium_11,normal,lognormal,,,3.1446658223090638,0.38525317015992666
"The probability that a venture-backed company is based in the US, given that it is a technology company and has raised over 13 million USD.",medium_12,beta,beta,13.999999999999996,6.0,,
The average total raised in millions USD for venture-backed companies that are not technology companies and have between 8 and 16 employees.,medium_13,normal,lognormal,,,1.5352279098749635,0.38525317015992666
The probability that a venture-backed company is a technology company given it has between 18 and 45 employees and has raised between 6 and 15 million USD.,medium_14,beta,beta,13.999999999999996,6.0,,
The average total raised in millions USD for venture-backed companies based in the US with at most 7 employees.,medium_15,normal,lognormal,,,1.2747225854627857,0.47238072707743883
"The probability that a venture-backed company is based in the US, given it has raised between 4 million and 14 million USD and is a technology company.",medium_16,beta,beta,13.799999999999995,9.199999999999998,,
The average total raised in millions USD for venture-backed companies that are headquartered in the US and have more than 42 employees.,medium_17,normal,lognormal,,,3.800451229771041,0.47238072707743883
The average total raised in millions USD for venture-backed companies that are not based in the US and have more than 49 employees.,medium_18,normal,lognormal,,,3.471036705271517,0.41063695941280387
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are headquartered in the United States.,medium_19,normal,lognormal,,,3.5773076784568314,0.47238072707743883
"The probability that a venture-backed company is a technology company, given that it has raised between 4 and 14 million USD, is headquartered outside the US, and employs more than 52 people.",hard_0,beta,beta,13.799999999999995,9.199999999999998,,
"The average total raised in millions USD for venture-backed companies that are based outside the US, have between 9 and 19 employees inclusive, and are not technology companies.",hard_1,normal,gaussian,,,6.0,2.0
The average number of employees for venture-backed companies that are US-based technology companies and have raised between 6 million and 19 million USD.,hard_2,normal,gaussian,,,50.0,15.0
"The average total raised in millions USD for venture-backed companies that are non-technology companies, are based in the United States, and have at most 7 employees.",hard_3,normal,lognormal,,,0.5815754049028404,0.47238072707743883
"The average number of employees for venture-backed companies that have raised between 4 and 14 million USD, are technology companies, and are headquartered outside the United States.",hard_4,normal,gaussian,,,40.0,15.0
"The average number of employees for venture-backed companies that are based in the US, are not in the technology sector, and have raised more than 1 million USD but no more than 4 million USD.",hard_5,normal,lognormal,,,2.706509367833506,0.6064031498312961
"The average number of employees for venture-backed companies that have raised at most 1 million USD, are based in the US, and operate as technology companies.",hard_6,normal,gaussian,,,10.0,4.0
"The average total raised in millions USD for venture-backed companies that are based in the US, have more than 42 employees, and operate in the technology sector.",hard_7,normal,lognormal,,,3.5773076784568314,0.47238072707743883
"The probability that a venture-backed company is based in the US given that it has raised at most 1 million USD, employs no more than 4 people, and is not a technology company.",hard_8,beta,beta,5.055555555555555,5.055555555555555,,
"The average total raised in millions USD for venture-backed companies that have at most 8 employees, operate in the technology sector, and are based in the United States.",hard_9,normal,lognormal,,,1.2747225854627857,0.47238072707743883
