variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,8.994021581952047,4.9043664816912775,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,8.819473790254325,3.855773148103213,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,2.7067469788691656,0.9410362905066855
The average number of employees for venture-backed companies,Employees,normal,lognormal,,,2.9820255675871303,0.5697333352589594
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,gaussian,,,102.00000257803806,42.26858440555449
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,lognormal,,,3.0138504761167955,0.8400003968331751
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,lognormal,,,3.5862438224542896,0.8708147274781078
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.4423675513035188,0.6402080987608034
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,3.903224875669675,0.6758800477622433
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,lognormal,,,4.3371974758602425,0.7237194050908181
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,lognormal,,,2.098446385454552,0.7923747770715039
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,8.262838096987974,2.84356443629128,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,lognormal,,,4.6482668275568475,0.7388388500646503
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,2.494452587242343,0.5535746553688892
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,5.030888013704816,1.2512807932332188
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,9.52459474063755,3.3196266975142534,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,lognormal,,,2.691961051242863,0.6198884708053745
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,2.7889923324677826,0.7981865648278039
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,2.1020946259802145,0.6067485986679062
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,lognormal,,,4.434915881765364,0.5223365391201714
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,lognormal,,,3.903224875669675,0.6758800477622433
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,3.9002272376629743,0.5381055220972822
The average total raised in millions USD for venture-backed companies with 9 to 17 employees and headquartered outside the United States.,medium_1,normal,lognormal,,,2.2652703195177253,0.5871570376500558
The average number of employees for venture-backed companies that are technology companies and have raised more than 2 million USD but no more than 4 million USD.,medium_2,normal,lognormal,,,3.048621520597833,0.5223365389903339
The average number of employees for venture-backed companies operating in the tech sector and headquartered in the United States.,medium_3,normal,lognormal,,,3.953273526987689,0.6412042709454849
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are technology companies.,medium_4,normal,lognormal,,,3.9043420595032208,0.6364640205322641
"The probability that a venture-backed company is based in the US, given that it is not a technology company and has raised more than 1 million USD but no more than 4 million USD.",medium_5,beta,beta,8.832727235152618,5.932934841694733,,
The average number of employees for venture-backed companies that are located outside the United States and do not operate in the technology sector.,medium_6,normal,lognormal,,,3.7143562880452676,0.793259858967811
The average total raised in millions USD for venture-backed companies that are technology firms headquartered outside the United States.,medium_7,normal,lognormal,,,2.0637903861943894,0.3530392818725766
The average number of employees for venture-backed companies that have raised over 1 million USD but no more than 4 million USD and are not technology companies.,medium_8,normal,lognormal,,,2.9960350211559805,0.7351879181101661
The probability that a venture-backed company is based in the US when it has raised over 14 million USD in total funding and employs at most 28 people.,medium_9,beta,beta,14.201466379149208,6.992848335760914,,
The average total raised in millions USD for venture-backed companies headquartered in the United States with 8 to 15 employees.,medium_10,normal,lognormal,,,2.3035050942803728,0.6813954573299302
The average total raised in millions USD for venture-backed companies whose headquarters are in the United States and that operate in the technology sector.,medium_11,normal,lognormal,,,3.7417687011223784,0.5223365391431314
"The probability that a venture-backed company is based in the US, given that it is a technology company and has raised over 13 million USD.",medium_12,beta,beta,13.229630280224438,5.3831433656459895,,
The average total raised in millions USD for venture-backed companies that are not technology companies and have between 8 and 16 employees.,medium_13,normal,lognormal,,,1.827938772128799,0.6491690272623584
The probability that a venture-backed company is a technology company given it has between 18 and 45 employees and has raised between 6 and 15 million USD.,medium_14,beta,beta,8.095283511178058,1.6892665432845775,,
The average total raised in millions USD for venture-backed companies based in the US with at most 7 employees.,medium_15,normal,lognormal,,,1.433742420952932,0.4682159597990998
"The probability that a venture-backed company is based in the US, given it has raised between 4 million and 14 million USD and is a technology company.",medium_16,beta,beta,8.819473790254325,3.855773148103213,,
The average total raised in millions USD for venture-backed companies that are headquartered in the US and have more than 42 employees.,medium_17,normal,lognormal,,,4.14810929151215,0.6364941996101607
The average total raised in millions USD for venture-backed companies that are not based in the US and have more than 49 employees.,medium_18,normal,lognormal,,,3.5372478864191073,0.34799294487001564
The average total raised in millions USD for venture-backed companies that have more than 45 employees and are headquartered in the United States.,medium_19,normal,lognormal,,,4.102145001015388,0.7279376118435841
"The probability that a venture-backed company is a technology company, given that it has raised between 4 and 14 million USD, is headquartered outside the US, and employs more than 52 people.",hard_0,beta,beta,3.9450926048605632,1.7768278755757585,,
