variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,a,b,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,beta,beta,30.094320221077762,10.227012893414757,,
The probability that a venture-backed company is a technology company,IsTechCompany,beta,beta,8.13830075311288,4.493017646543802,,
The average total raised in millions USD for venture-backed companies,TotalRaised,normal,lognormal,,,2.3092639495813883,0.9760882326803287
The average number of employees for venture-backed companies,Employees,normal,lognormal,,,3.9320429081281945,0.9673006609795783
The average number of employees for venture-backed companies that do not operate in the technology sector.,easy_0,normal,lognormal,,,4.136460237342416,0.8475766056173967
The average total raised in millions USD for venture-backed companies with more than 17 and at most 45 employees.,easy_1,normal,lognormal,,,1.9590910056805397,0.6407671911872602
The average number of employees for venture-backed companies that have raised more than 1 million USD but no more than 4 million USD.,easy_2,normal,lognormal,,,3.05474191602495,0.8129288690465238
The average total raised in millions USD for venture-backed companies with at most 8 employees.,easy_3,normal,lognormal,,,1.1442541151070527,0.8220048921444033
The average number of employees for venture-backed companies that are headquartered outside the United States.,easy_4,normal,lognormal,,,4.143161581055802,1.2597503391802347
The average number of employees for venture-backed companies that operate in the technology sector.,easy_5,normal,lognormal,,,4.753765046106306,1.3111047640902465
The average number of employees for venture-backed companies that have raised no more than 1 million USD.,easy_6,normal,lognormal,,,2.1596738829142517,0.7564773899027322
"The probability that a venture-backed company is based in the US, given that it has raised at most 1 million USD.",easy_7,beta,beta,30.094320221077762,10.227012893414757,,
The average number of employees for venture-backed companies that have raised more than 14 million USD in total funding.,easy_8,normal,lognormal,,,4.625190088488107,0.9673006611253624
The average total raised in millions USD for venture-backed companies headquartered outside the US.,easy_9,normal,lognormal,,,1.1141588416094694,0.9702495204547342
The average number of employees for venture-backed companies headquartered in the United States.,easy_10,normal,lognormal,,,4.291405064688386,1.0348092384566785
"The probability that a venture-backed company is based in the US, conditional on having raised more than 14 million USD.",easy_11,beta,beta,9.52459474063755,3.3196266975142534,,
The average total raised in millions USD for venture-backed companies headquartered in the United States.,easy_12,normal,lognormal,,,2.315904869537824,0.9717165577150453
The average total raised in millions USD for venture-backed companies that operate in the technology sector.,easy_13,normal,lognormal,,,1.6673890532787679,0.9425847099333717
The average total raised in millions USD for venture-backed companies with more than 8 but no more than 17 employees.,easy_14,normal,lognormal,,,1.60063978869405,0.6758800440943415
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,normal,lognormal,,,2.3535501898302154,0.8183945062252643
The average number of employees for venture-backed companies that have raised more than 4 million USD but no more than 14 million USD.,easy_16,normal,lognormal,,,3.707884418313554,0.7923746554691533
The average number of employees for venture-backed companies that are headquartered in the United States and do not operate in the technology industry.,medium_0,normal,lognormal,,,4.332993961664198,0.8417607184295298
