variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,a,b,mean,std,mu,sigma
The probability that a venture-backed company is based in the US,IsUSBased,0.4262274212484264,beta,beta,24.0,10.0,0.7058823529411765,0.07701807890682084,,
The probability that a venture-backed company is a technology company,IsTechCompany,0.47340056862384544,beta,beta,14.0,6.0,0.7,0.1,,
The average total raised in millions USD for venture-backed companies,TotalRaised,27.092343523063214,normal,lognormal,,,17.957358944987334,11.820927365495944,2.708,0.6
The average number of employees for venture-backed companies,Employees,94.3918270930874,normal,lognormal,,,137.68934164285872,130.36795075136965,4.605,0.8
The average number of employees for venture-backed companies headquartered in the United States is shown.,easy_0,69.00162612418279,normal,lognormal,,,58.04682427911628,34.49943433605045,3.91,0.55
The average number of employees for venture-backed companies headquartered outside of the United States.,easy_1,113.25295828813726,normal,lognormal,,,113.29556234865991,60.37977665468992,4.605,0.5
The average total raised in millions USD for venture-backed companies that are headquartered in the United States.,easy_2,34.690467595327384,normal,lognormal,,,38.28277285155798,30.441815375128215,3.4,0.7
The average number of employees for venture-backed companies that operate in the technology sector.,easy_3,70.71898529939047,normal,lognormal,,,59.739891704145194,39.325433256677165,3.91,0.6
The average total raised in millions USD for venture-backed companies that are headquartered outside the United States.,easy_4,21.448070949610493,normal,lognormal,,,13.531225302747648,7.211335949151195,2.48,0.5
"The probability that a venture-backed company is based in the US, given it has raised at most 1 million USD.",easy_5,0.32121042308769965,beta,beta,12.0,8.0,0.6,0.10690449676496976,,
The average total raised in millions USD for venture-backed companies with 18 to 45 employees.,easy_6,14.25118825404052,normal,lognormal,,,25.843264343025215,20.92338902311349,3.0,0.71
The average number of employees for venture-backed companies where the total amount raised is greater than 4 million USD and at most 14 million USD.,easy_7,65.71121691322338,normal,lognormal,,,56.657422345796526,30.19502649664103,3.912023,0.5
The average number of employees for venture-backed companies that are not in the technology sector.,easy_8,115.67315802197211,normal,lognormal,,,127.76210755825596,101.59427336432918,4.60517,0.7
The probability that a venture-backed company is based in the US when total funding raised exceeds 14 million USD.,easy_9,0.5381176071084951,beta,beta,13.0,7.0,0.65,0.10408329997330663,,
The average number of employees for venture-backed companies where total funding raised exceeds 14 million USD.,easy_10,256.85115173467653,normal,lognormal,,,113.29556234865991,60.37977665468992,4.605,0.5
The average number of employees for venture-backed companies that have raised no more than 1 million USD in total.,easy_11,23.810367049593722,normal,lognormal,,,11.941264417849103,7.860667026148539,2.3,0.6
The average total raised in millions USD for venture-backed companies that have at most 8 employees.,easy_12,3.5290062040752512,normal,lognormal,,,3.5966397255692817,2.3675874100450423,1.1,0.6
The average total raised in millions USD for venture-backed companies with more than eight and at most seventeen employees.,easy_13,6.678734494347694,normal,lognormal,,,11.302229419279579,6.023414102805224,2.3,0.5
The average total raised in millions USD for venture-backed companies operating in the technology sector.,easy_14,25.585287438747457,normal,lognormal,,,33.95377361624754,18.095335995807243,3.4,0.5
The average total raised in millions USD for venture-backed companies with more than 45 employees.,easy_15,84.67986682602015,normal,lognormal,,,59.739891704145194,39.325433256677165,3.91,0.6
The average number of employees for venture-backed companies that have raised more than $1 million but no more than $4 million in funding.,easy_16,31.395496009122006,normal,lognormal,,,33.95377361624754,18.095335995807243,3.4,0.5
The average number of employees for venture-backed companies that are headquartered outside the United States and that do not operate in the technology sector.,medium_0,142.19630337794774,normal,lognormal,,,51.16214995665737,40.6832788527178,3.69,0.7
The average total raised in millions USD for venture-backed companies with no more than eight employees and operating in the technology industry.,medium_1,2.5228256465260395,normal,lognormal,,,4.531259789228607,2.4148911781383355,1.386,0.5
The average number of employees for venture-backed companies that have raised more than 14 million USD and are not based in the United States.,medium_2,370.8900869991423,normal,lognormal,,,132.72110876314727,62.87956995237877,4.787,0.45
"The average total raised in millions USD for venture-backed companies that are located in the United States and have between 8 and 15 employees, inclusive.",medium_3,7.828107926254878,normal,lognormal,,,11.331653450434674,6.039095356268248,2.3026,0.5
The average number of employees for venture-backed companies that are based in the US and have raised between 4 and 14 million USD.,medium_4,34.03795319510125,normal,lognormal,,,56.542920238322985,30.13400370340516,3.91,0.5
The average total raised in millions USD for venture-backed companies that are neither technology companies nor US-based.,medium_5,23.912042247109166,normal,lognormal,,,10.226680085791001,8.132083542623544,2.08,0.7
The average number of employees for venture-backed companies that are technology companies and have raised at most 2 million USD.,medium_6,21.63714593044102,normal,lognormal,,,24.046753552064498,15.829439506430521,3.0,0.6
The average total raised in millions USD for venture-backed companies with more than 17 but no more than 45 employees and based in the US.,medium_7,20.566304196291647,normal,lognormal,,,17.03040030039619,9.076187497206496,2.71,0.5
